snapshot_ts,parent_event_id,fomc_decision_date,market_type,is_sparse_ctf,days_to_next_fomc,expected_bps,p_no_change,margin_over_second,n_brackets,modal_prob,modal_outcome_bps,modal_direction,distance_from_uniform,reit_index_open,reit_index_high,reit_index_low,reit_index_close,reit_index_fwd_21d_return,sora_level_realized,sora_fwd_21d_level,sora_fwd_21d_change,sora_fwd_21d_abs_change,sora_level_t2,sora_90d_change_t2,sora_3m_t2,sora_term_spread_t2
2024-08-27,11696,2024-09-18,CTF,False,22,-29.7,0.037,0.53,4,0.75,-25.0,cut,0.5,1075.0,1077.8101,1067.08,1071.64,0.034415,3.3159,3.1705,-0.1454,0.1454,3.2314,-43.08,3.5811,0.3497
2024-08-28,11696,2024-09-18,CTF,False,21,-29.925,0.035,0.48,4,0.72,-25.0,cut,0.47,1072.5601,1075.74,1068.3101,1071.4301,0.044063,3.3554,3.4135,0.0581,0.0581,3.2189,-32.87,3.5761,0.3572
2024-08-29,11696,2024-09-18,CTF,False,20,-30.7,0.032,0.48,4,0.73,-25.0,cut,0.48,1071.2,1077.97,1067.42,1071.01,0.055957,3.4319,3.3108,-0.1211,0.1211,3.3159,-22.5,3.5723,0.2564
2024-08-30,11696,2024-09-18,CTF,False,19,-29.177,0.044,0.510079,4,0.730079,-25.0,cut,0.480079,1072.42,1078.89,1069.6,1078.75,0.040399,3.5355,3.8808,0.3453,0.3453,3.3554,-18.55,3.5702,0.2148
2024-09-02,11696,2024-09-18,CTF,False,16,-29.475,0.045455,0.55,4,0.76,-25.0,cut,0.51,1080.09,1087.37,1079.0601,1085.1,0.040909,3.4466,3.7299,0.2833,0.2833,3.4319,-9.03,3.569,0.1371
2024-09-03,11696,2024-09-18,CTF,False,15,-29.6964,0.04,0.56,4,0.77,-25.0,cut,0.52,1085.78,1085.78,1073.36,1074.1899,0.056303,3.5593,3.6048,0.0455,0.0455,3.5355,-28.26,3.5694,0.0339
2024-09-04,11696,2024-09-18,CTF,False,14,-30.225,0.031,0.52,4,0.75,-25.0,cut,0.5,1064.0699,1066.55,1057.52,1065.54,0.063817,3.4622,3.5946,0.1324,0.1324,3.4466,-36.61,3.5686,0.122
2024-09-05,11696,2024-09-18,CTF,False,13,-33.225,0.025,0.25,4,0.61,-25.0,cut,0.36,1068.2,1083.52,1068.2,1083.52,0.040212,3.4824,3.5514,0.069,0.069,3.5593,-29.3,3.5657,0.0064
2024-09-06,11696,2024-09-18,CTF,False,12,-31.95,0.044,0.32,4,0.64,-25.0,cut,0.39,1082.9301,1110.21,1082.26,1099.9301,0.017556,3.5859,3.5015,-0.0844,0.0844,3.4622,-39.01,3.5619,0.0997
2024-09-09,11696,2024-09-18,CTF,False,9,-30.95,0.027013,0.46,4,0.72,-25.0,cut,0.47,1097.52,1107.0699,1094.9,1100.34,0.00389,3.5167,3.3875,-0.1292,0.1292,3.4824,-36.67,3.5578,0.0754
2024-09-10,11696,2024-09-18,CTF,False,8,-31.15,0.024,0.53,4,0.77,-25.0,cut,0.52,1104.38,1106.15,1097.09,1101.97,0.007096,3.4959,3.3049,-0.191,0.191,3.5859,-0.81,3.5515,-0.0344
2024-09-11,11696,2024-09-18,CTF,False,7,-30.95,0.027,0.49,4,0.74,-25.0,cut,0.49,1102.7,1110.29,1102.5,1106.8199,-0.000723,3.5352,3.1077,-0.4275,0.4275,3.5167,-1.24,3.5479,0.0312
2024-09-12,11696,2024-09-18,CTF,False,6,-26.3755,0.021906,0.82149,4,0.9,-25.0,cut,0.65,1108.22,1111.72,1102.95,1109.84,-0.007569,3.5177,3.0977,-0.42,0.42,3.4959,-13.53,3.5468,0.0509
2024-09-13,11696,2024-09-18,CTF,False,5,-30.7,0.018,0.48,4,0.73,-25.0,cut,0.48,1110.92,1118.17,1109.81,1114.7,-0.011456,3.5423,3.0846,-0.4577,0.4577,3.5352,-9.6,3.5468,0.0116
2024-09-16,11696,2024-09-18,CTF,False,2,-34.725,0.015,0.13,4,0.55,-25.0,cut,0.3,1117.67,1127.07,1116.55,1126.28,-0.022996,3.5427,3.0314,-0.5113,0.5113,3.5177,-11.88,3.5456,0.0279
2024-09-17,11696,2024-09-18,CTF,False,1,-38.975,0.016,0.18,4,0.58,-50.0,cut,0.33,1126.14,1142.17,1123.72,1138.11,-0.032343,3.4455,2.9091,-0.5364,0.5364,3.5423,-23.13,3.5395,-0.0028
2024-09-18,11696,2024-09-18,CTF,False,0,-37.775,0.014,0.09,4,0.534,-50.0,cut,0.284,1134.41,1134.96,1120.25,1123.69,-0.018252,3.4316,2.8903,-0.5413,0.5413,3.5427,-15.02,3.537,-0.0057
2024-09-19,11827,2024-11-07,CTF,False,49,-34.0651,0.08,0.312155,5,0.63,-25.0,cut,0.43,1130.27,1142.66,1125.53,1142.32,-0.030482,3.1089,2.9784,-0.1305,0.1305,3.4455,-25.65,3.5334,0.0879
2024-09-20,11827,2024-11-07,CTF,False,48,-31.95,0.07,0.22,5,0.55,-25.0,cut,0.35,1143.11,1143.11,1112.79,1112.81,-0.007818,3.2039,3.0642,-0.1397,0.1397,3.4316,-27.04,3.5305,0.0989
2024-09-23,11827,2024-11-07,CTF,False,45,-37.375,0.06,0.04,5,0.49,-50.0,cut,0.29,1115.21,1118.91,1104.66,1109.38,-0.012611,3.1178,3.1267,0.0089,0.0089,3.1089,-52.82,3.524,0.4151
2024-09-24,11827,2024-11-07,CTF,False,44,-35.8368,0.06,0.068264,5,0.5,-25.0,cut,0.3,1113.17,1125.88,1110.6,1112.84,-0.019922,3.135,3.0662,-0.0688,0.0688,3.2039,-46.7,3.5103,0.3064
2024-09-25,11827,2024-11-07,CTF,False,43,-36.675,0.04,0.04,5,0.48,-50.0,cut,0.28,1115.27,1117.95,1108.22,1108.52,-0.021849,3.1705,2.947,-0.2235,0.2235,3.1178,-44.72,3.5046,0.3868
2024-09-26,11827,2024-11-07,CTF,False,42,-38.05,0.04,0.1,5,0.52,-50.0,cut,0.32,1112.78,1130.88,1111.31,1118.64,-0.039378,3.4135,3.0313,-0.3822,0.3822,3.135,-46.42,3.4988,0.3638
2024-09-27,11827,2024-11-07,CTF,False,41,-35.8,0.048,0.05,5,0.49,-25.0,cut,0.29,1120.96,1134.41,1116.55,1130.94,-0.050206,3.3108,3.0666,-0.2442,0.2442,3.1705,-42.87,3.4944,0.3239
2024-09-30,11827,2024-11-07,CTF,False,38,-36.7999,0.031001,0.050002,5,0.5,-25.0,cut,0.3,1130.12,1132.83,1121.99,1122.33,-0.049522,3.8808,3.0955,-0.7853,0.7853,3.4135,-1.9,3.4924,0.0789
2024-10-01,11827,2024-11-07,CTF,False,37,-32.275,0.033,0.32,5,0.63,-25.0,cut,0.43,1121.98,1133.25,1119.33,1129.49,-0.06147,3.7299,3.1559,-0.574,0.574,3.3108,-10.97,3.4882,0.1774
2024-10-02,11827,2024-11-07,CTF,False,36,-32.95,0.036,0.29,5,0.62,-25.0,cut,0.42,1126.72,1141.27,1124.37,1134.67,-0.067632,3.6048,3.2321,-0.3727,0.3727,3.8808,46.67,3.4932,-0.3876
