snapshot_ts,ticker,car_63d,car_sign_consistency,car_acceleration,expected_bps,sora_level_t2,reit_index_lag_21d_return,reit_index_lag_63d_return,reit_index_vol_21d,reit_index_vol_63d,reit_index_drawdown_63d,is_A17U,is_AJBU,is_BTOU,is_BUOU,is_C38U,is_CMOU,is_J69U,is_M1GU,is_M44U,is_ME8U,is_N2IU,is_OXMU,is_T82U,y_true
2024-02-23,CMOU,0.05642548,1.398777e-05,-0.032471344,0.0035586548,-0.0004985797,-0.028423386,-0.01007569,-0.003088213,0.014277786,0.00010924775,0.0,0.0,-0.002469101,0.0,0.0,-0.0014850881,0.0,0.0,0.0,0.0,0.0,5.4899974e-05,0.0,0.030735175173002297
2024-02-29,ME8U,-0.00020740872,-9.000334e-05,0.00020035976,0.0007229666,0.00016237084,-0.0006868115,-0.00028533212,3.1255477e-06,0.0010496079,0.00047593727,0.0,0.0,0.00051564974,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,0.015657245504099335
2024-03-01,A17U,2.2622364e-05,-9.000334e-05,0.00021403545,0.0011087197,0.00011225556,-0.0006648998,-0.00028533212,-0.000424164,0.0010496079,0.00065462664,0.0,0.0,0.0001629935,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,0.0022456130471004724
2024-03-01,T82U,2.2622364e-05,-9.000334e-05,0.00021403545,0.0011087197,0.00011225556,-0.0006648998,-0.00028533212,-0.000424164,0.0010496079,0.00065462664,0.0,0.0,0.0001629935,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,-0.04780808954145263
2024-03-05,M1GU,-0.00021176606,1.398777e-05,0.00021403545,0.001121697,0.00011225556,-0.0006648998,-0.00028533212,-0.0004552612,0.0010584464,0.00079430535,0.0,0.0,0.0001629935,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,-0.0033922154053555773
2024-03-05,OXMU,0.0014630553,-0.00020018822,0.0014259074,0.0060069794,3.3724455e-06,-0.0075506805,0.00024305898,-0.0004552612,0.0133991055,0.040111683,0.0,0.0,0.00036719773,0.0,0.0,0.00024201533,0.0,0.0,0.0,0.0,0.0,0.0010622828,0.0,0.18343128166691514
2024-03-06,A17U,0.0004234597,-9.000334e-05,0.00012848114,0.0010574199,-7.2504063e-06,-0.0007062272,-0.00028533212,-0.00036425248,0.0010496079,0.0004915651,0.0,0.0,0.0001629935,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,0.0029622864617898925
2024-03-06,BTOU,0.0025127423,-8.107121e-05,0.00038040453,0.005629806,0.0016284977,-0.0007062272,-0.0008764076,-0.0005264962,0.008544668,0.0004285926,0.0,0.0,-0.0019593947,0.0,0.0,0.00011119376,0.0,0.0,0.0,0.0,0.0,-0.00013798385,0.0,0.3668779279633387
2024-03-06,BUOU,0.0004234597,1.398777e-05,0.00012848114,0.0010703972,-7.2504063e-06,-0.0007062272,-0.00028533212,-0.0003953497,0.0010496079,0.000405694,0.0,0.0,0.0001629935,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,0.013784390098438537
2024-03-11,T82U,3.5506484e-05,1.398777e-05,-7.6168762e-06,0.0011073165,-7.2504063e-06,-0.00012402776,-0.00027659454,-0.0003953497,0.0011401478,0.00021134892,0.0,0.0,0.0001629935,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,0.0059912783236854075
2024-03-14,M44U,3.66037e-05,1.398777e-05,-2.7032547e-05,0.0011073165,9.9464836e-05,-0.00014344342,-0.00027659454,-0.0003953497,0.0010857774,0.0002511085,0.0,0.0,0.00010862315,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,-0.012847891417538414
2024-04-17,C38U,-0.0027935738,-9.000334e-05,0.00022489062,0.0011449048,8.417766e-05,-0.00010272363,0.0025893436,-0.00036281772,0.0008009879,0.0003369797,0.0,0.0,2.8295686e-05,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,0.04023965633687373
2024-04-22,AJBU,-0.00029360852,-9.000334e-05,0.00023951606,0.001098372,4.968208e-05,-0.00010272363,-4.012471e-05,-6.7245404e-05,0.0006781184,0.00036018313,0.0,0.0,2.8295686e-05,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,0.019585984194802227
